Site,Samples,RMSE,MAE,MAPE (%),R2
454,488,0.069019,0.048371,26.9477,0.889542
5335,488,0.069051,0.05108,23.6814,0.913142
5500,488,0.069057,0.04872,26.2833,0.902674
5120,488,0.069077,0.044939,35.2703,0.896229
1716,488,0.069094,0.049663,21.2136,0.899107
2674,488,0.069144,0.054467,20.0155,0.901731
1374,488,0.069235,0.054288,21.4149,0.886312
4846,488,0.069237,0.049262,26.0722,0.906895
3546,488,0.069331,0.05073,28.673,0.896153
2726,488,0.069451,0.052022,20.1597,0.908905
5207,488,0.069523,0.051461,23.3438,0.910828
4092,488,0.069529,0.051745,27.2359,0.917364
1444,488,0.06954,0.046334,42.2678,0.898346
6080,488,0.06962,0.049993,23.5173,0.942141
1552,488,0.069621,0.052838,27.7884,0.689858
3950,488,0.069625,0.048578,31.2311,0.910779
6652,488,0.069669,0.053857,22.8411,0.919125
3369,488,0.069684,0.046898,26.7262,0.812107
6803,488,0.069805,0.048372,25.3816,0.902906
6692,488,0.06983,0.052699,22.1887,0.922855
5036,488,0.069919,0.052648,23.5058,0.893789
4872,488,0.07,0.050823,27.2492,0.90699
3323,488,0.070008,0.051947,23.5843,0.907918
2267,488,0.070041,0.04864,26.1978,0.875964
2037,488,0.070103,0.049155,23.9803,0.904868
5872,488,0.070122,0.045342,30.9912,0.876723
5033,488,0.070125,0.053078,23.7665,0.918026
4557,488,0.070131,0.051269,26.5009,0.887663
2132,488,0.070178,0.049447,23.0025,0.884034
702,488,0.070213,0.05531,21.0951,0.910416
3330,488,0.07024,0.054092,19.9744,0.912933
1442,488,0.070242,0.048081,26.3524,0.929753
3024,488,0.070279,0.053049,32.0995,0.897553
4788,488,0.070302,0.053956,21.0179,0.910192
32146,488,0.070442,0.049982,22.1041,0.9213
676,488,0.070488,0.047063,23.5871,0.853474
3578,488,0.070505,0.049998,21.5805,0.899421
3661,488,0.070509,0.052005,23.3185,0.907766
1018,488,0.070511,0.054078,20.4173,0.915977
5882,488,0.070541,0.047327,30.9522,0.884741
2135,488,0.070561,0.049926,23.0169,0.907774
2681,488,0.07057,0.052328,26.0251,0.870947
6142,488,0.070578,0.047553,30.016,0.898165
918,488,0.070647,0.048319,30.1932,0.895167
833,488,0.070665,0.050027,26.0976,0.936508
3623,488,0.070673,0.047857,33.7022,0.779121
4376,488,0.070681,0.057775,23.4765,0.876962
3631,488,0.070693,0.043042,59.1175,0.683626
5343,488,0.070709,0.049527,23.1365,0.868228
248,488,0.070737,0.050511,29.6098,0.934291
263,488,0.070746,0.049971,22.8588,0.909482
2937,488,0.070761,0.048212,25.7104,0.740275
724,488,0.070768,0.051178,28.2883,0.917638
4051,488,0.070771,0.053204,24.6377,0.906011
6691,488,0.070798,0.055187,23.0218,0.91935
4599,488,0.070975,0.057031,25.2552,0.854343
4453,488,0.07098,0.056349,21.2725,0.862912
5846,488,0.070986,0.042533,39.3496,0.870515
1531,488,0.071051,0.05415,31.1238,0.891626
3906,488,0.071054,0.051435,26.203,0.88354
289,488,0.071065,0.048647,29.4852,0.899951
4732,488,0.071085,0.048326,28.3318,0.905017
439,488,0.071124,0.05194,41.8786,0.895937
571,488,0.071163,0.05202,31.6837,0.811024
4717,488,0.071286,0.053047,21.953,0.917229
2117,488,0.071302,0.048899,30.6556,0.902559
2257,488,0.071319,0.047369,29.6098,0.903365
3749,488,0.07134,0.056012,20.997,0.897359
555,488,0.071365,0.049447,26.1453,0.929466
5873,488,0.071396,0.050812,24.6769,0.901994
1380,488,0.071442,0.050986,39.6833,0.770888
4697,488,0.071449,0.055737,20.1082,0.89492
4090,488,0.071472,0.051578,31.9843,0.86066
596,488,0.071501,0.051755,22.4338,0.912956
563,488,0.071527,0.052103,27.9359,0.919129
1486,488,0.071531,0.050043,23.8119,0.902945
32282,488,0.07166,0.052199,24.0459,0.902712
4915,488,0.071673,0.05274,23.8608,0.917857
1159,488,0.071685,0.051151,25.9153,0.894978
3575,488,0.071766,0.045794,26.0533,0.853122
6074,488,0.071821,0.05223,27.6047,0.910522
5041,488,0.071823,0.053542,28.1685,0.884216
2762,488,0.071828,0.052558,22.3072,0.896641
4903,488,0.071831,0.054716,23.7657,0.90613
6802,488,0.071935,0.050767,22.1173,0.917438
1509,488,0.071976,0.048423,25.5768,0.882174
5028,488,0.071992,0.052474,23.7333,0.907348
4271,488,0.072033,0.056558,19.672,0.896101
2025,488,0.072045,0.046883,32.7355,0.899469
5410,488,0.072171,0.050784,21.6855,0.91086
2769,488,0.072177,0.053306,22.0306,0.909046
879,488,0.072191,0.050959,24.5924,0.928145
3259,488,0.072196,0.052601,29.7863,0.921796
1474,488,0.072237,0.044845,53.997,0.887085
1464,488,0.072246,0.054517,20.7625,0.911901
2741,488,0.072268,0.052821,24.8979,0.896636
1798,488,0.072269,0.053086,41.9412,0.895579
5045,488,0.072294,0.051342,23.4407,0.904891
3101,488,0.07233,0.052809,22.065,0.919569
740,488,0.072375,0.049257,27.3063,0.915431
2300,488,0.072412,0.057405,20.831,0.891495
3962,488,0.072416,0.053122,30.6151,0.864306
32152,488,0.072435,0.047891,32.64,0.875987
5199,488,0.072438,0.050275,35.8148,0.924914
3763,488,0.072448,0.051692,21.8927,0.91477
4726,488,0.072451,0.061094,19.8624,0.76534
4580,488,0.072469,0.05651,22.6107,0.709076
5810,488,0.072477,0.054948,21.8595,0.901485
5413,488,0.072523,0.048951,33.3371,0.915214
4575,488,0.072549,0.057832,21.4193,0.839932
6406,488,0.072628,0.046712,36.4645,0.899995
3933,488,0.072632,0.049201,37.2803,0.912527
1832,488,0.072639,0.05365,23.1923,0.914173
4086,488,0.072677,0.050258,33.0183,0.872647
3586,488,0.072697,0.045376,26.6293,0.791404
1107,488,0.072701,0.053072,24.8171,0.920749
3834,488,0.072717,0.042358,36.6121,0.837554
5395,488,0.072738,0.049612,27.3455,0.892156
1734,488,0.072746,0.047698,28.2228,0.814509
1409,488,0.072778,0.047372,32.709,0.887235
377,488,0.072804,0.058568,23.8089,0.90771
365,488,0.07284,0.052471,24.9905,0.91389
2625,488,0.07285,0.051274,26.8091,0.922103
445,488,0.072856,0.048186,33.1876,0.9102
823,488,0.072904,0.050115,28.9478,0.906856
3339,488,0.072916,0.056695,21.5065,0.891248
4300,488,0.072951,0.056289,23.5669,0.915036
5324,488,0.072998,0.05663,26.4286,0.740051
1165,488,0.073077,0.051567,25.0427,0.918554
2515,488,0.07308,0.05437,23.0793,0.8945
4349,488,0.073095,0.052981,23.4793,0.904743
32058,488,0.073102,0.051936,27.3488,0.90454
104,488,0.073114,0.049544,26.0524,0.919693
3305,488,0.073117,0.057487,19.8696,0.907167
3872,488,0.073158,0.052005,26.0902,0.905602
1586,488,0.073166,0.055864,22.7483,0.844597
3478,488,0.073167,0.053549,23.2465,0.897198
2195,488,0.073171,0.052401,23.2622,0.776038
