Site,Samples,RMSE,MAE,MAPE (%),R2
2135,488,0.097593,0.08042,197.3959,0.823574
4774,488,0.097609,0.064298,35.1672,0.730979
5349,488,0.097639,0.080341,303.3284,0.770817
3410,488,0.09766,0.078368,83.961,0.743906
1298,488,0.097747,0.078953,145.1348,0.816335
500,488,0.097764,0.081633,96.4801,0.823425
6803,488,0.097815,0.084304,211.2301,0.809354
2726,488,0.097838,0.084761,126.2831,0.819218
2068,488,0.097849,0.079503,41.2017,0.803275
2949,488,0.097865,0.081074,168.8879,0.813187
2570,488,0.097866,0.07763,76.4598,0.765502
4872,488,0.097894,0.082673,300.427,0.818093
3167,488,0.097906,0.078537,237.8042,0.785089
4271,488,0.097946,0.087064,125.1069,0.807904
679,488,0.098027,0.082726,230.4795,0.807894
4051,488,0.098038,0.083634,224.6011,0.819633
6676,488,0.098081,0.088012,230.2082,0.810283
1334,488,0.098093,0.077797,68.1704,0.781143
1323,488,0.098095,0.07977,242.4505,0.814444
32152,488,0.098096,0.080985,456.0788,0.772555
2286,488,0.098107,0.077973,89.6387,0.8088
3063,488,0.098112,0.086,48.4249,0.800886
2515,488,0.098117,0.083194,143.2069,0.809828
1005,488,0.098137,0.071641,109.187,0.589365
1755,488,0.09816,0.079003,98.8787,0.797433
2392,488,0.098165,0.075739,56.1305,0.796182
5840,488,0.098173,0.088311,578.1304,0.79763
4497,488,0.098209,0.078069,58.7627,0.738624
3431,488,0.098222,0.080343,108.805,0.793674
6336,488,0.098306,0.081967,261.8598,0.760104
6616,488,0.098327,0.083555,57.3233,0.808185
361,488,0.098344,0.083763,407.5031,0.82776
4799,488,0.098375,0.081323,119.1666,0.781766
918,488,0.09838,0.080905,357.0532,0.796705
4533,488,0.098423,0.079631,53.2897,0.790191
2346,488,0.098428,0.084048,361.8562,0.816301
3429,488,0.09843,0.079294,84.232,0.816071
32282,488,0.098445,0.085166,173.5274,0.816389
2355,488,0.098466,0.074631,24.847,0.658559
2144,488,0.098467,0.078178,72.858,0.816465
1409,488,0.098476,0.079991,400.0375,0.793541
